Date,Close
02.01.2018,"172,26"
03.01.2018,"172,23"
04.01.2018,"173,03"
05.01.2018,175
08.01.2018,"174,35"
09.01.2018,"174,33"
10.01.2018,"174,29"
11.01.2018,"175,28"
12.01.2018,"177,09"
16.01.2018,"176,19"
17.01.2018,"179,1"
18.01.2018,"179,26"
19.01.2018,"178,46"
22.01.2018,177
23.01.2018,"177,04"
24.01.2018,"174,22"
25.01.2018,"171,11"
26.01.2018,"171,51"
29.01.2018,"167,96"
30.01.2018,"166,97"
31.01.2018,"167,43"
01.02.2018,"167,78"
02.02.2018,"160,5"
05.02.2018,"156,49"
06.02.2018,"163,03"
07.02.2018,"159,54"
08.02.2018,"155,15"
09.02.2018,"156,41"
12.02.2018,"162,71"
13.02.2018,"164,34"
14.02.2018,"167,37"
15.02.2018,"172,99"
16.02.2018,"172,43"
20.02.2018,"171,85"
21.02.2018,"171,07"
22.02.2018,"172,5"
23.02.2018,"175,5"
26.02.2018,"178,97"
27.02.2018,"178,39"
28.02.2018,"178,12"
01.03.2018,175
02.03.2018,"176,21"
05.03.2018,"176,82"
06.03.2018,"176,67"
07.03.2018,"175,03"
08.03.2018,"176,94"
09.03.2018,"179,98"
12.03.2018,"181,72"
13.03.2018,"179,97"
14.03.2018,"178,44"
15.03.2018,"178,65"
16.03.2018,"178,02"
19.03.2018,"175,3"
20.03.2018,"175,24"
21.03.2018,"171,27"
22.03.2018,"168,85"
23.03.2018,"164,94"
26.03.2018,"172,77"
27.03.2018,"168,34"
28.03.2018,"166,48"
29.03.2018,"167,78"
02.04.2018,"166,68"
03.04.2018,"168,39"
04.04.2018,"171,61"
05.04.2018,"172,8"
06.04.2018,"168,38"
09.04.2018,"170,05"
10.04.2018,"173,25"
11.04.2018,"172,44"
12.04.2018,"174,14"
13.04.2018,"174,73"
16.04.2018,"175,82"
17.04.2018,"178,24"
18.04.2018,"177,84"
19.04.2018,"172,8"
20.04.2018,"165,72"
23.04.2018,"165,24"
24.04.2018,"162,94"
25.04.2018,"163,65"
26.04.2018,"164,22"
27.04.2018,"162,32"
30.04.2018,"165,26"
01.05.2018,"169,1"
02.05.2018,"176,57"
03.05.2018,"176,89"
04.05.2018,"183,83"
07.05.2018,"185,16"
08.05.2018,"186,05"
09.05.2018,"187,36"
10.05.2018,"190,04"
11.05.2018,"188,59"
14.05.2018,"188,15"
15.05.2018,"186,44"
16.05.2018,"188,18"
17.05.2018,"186,99"
18.05.2018,"186,31"
21.05.2018,"187,63"
22.05.2018,"187,16"
23.05.2018,"188,36"
24.05.2018,"188,15"
25.05.2018,"188,58"
29.05.2018,"187,9"
30.05.2018,"187,5"
31.05.2018,"186,87"
01.06.2018,"190,24"
04.06.2018,"191,83"
05.06.2018,"193,31"
06.06.2018,"193,98"
07.06.2018,"193,46"
08.06.2018,"191,7"
11.06.2018,"191,23"
12.06.2018,"192,28"
13.06.2018,"190,7"
14.06.2018,"190,8"
15.06.2018,"188,84"
18.06.2018,"188,74"
19.06.2018,"185,69"
20.06.2018,"186,5"
21.06.2018,"185,46"
22.06.2018,"184,92"
25.06.2018,"182,17"
26.06.2018,"184,43"
27.06.2018,"184,16"
28.06.2018,"185,5"
29.06.2018,"185,11"
02.07.2018,"187,18"
03.07.2018,"183,92"
05.07.2018,"185,4"
06.07.2018,"187,97"
09.07.2018,"190,58"
10.07.2018,"190,35"
